Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Olamide Zaccheaus,PHI@NYG,4,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Grant Calcaterra,PHI@NYG,3,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Tyler Conklin,NYJ@NE,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Derius Davis,KC@LAC,3,0,0,0,0,0,0,3,17,0,0,1,18,0,0,0,0
Greg Dortch,SEA@ARI,3,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Jahan Dotson,DAL@WAS,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Demario Douglas,NYJ@NE,3,0,0,0,0,0,0,1,0,0,0,2,13,0,0,0,0
Chase Edmonds,TB@CAR,3,0,0,0,0,0,0,4,27,0,0,1,-3,0,0,0,0
Gus Edwards,PIT@BAL,3,0,0,0,0,0,0,10,48,0,0,0,0,0,0,1,0
Kylen Granson,HOU@IND,3,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
Malik Heath,CHI@GB,3,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0
Peyton Hendershot,DAL@WAS,3,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
Tanner Hudson,CLE@CIN,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Richie James,KC@LAC,3,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Van Jefferson,ATL@NO,3,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Quentin Johnston,KC@LAC,3,0,0,0,0,0,0,1,6,0,0,2,17,0,0,0,0
Julio Jones,PHI@NYG,3,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Alexander Mattison,MIN@DET,3,0,0,0,0,0,0,7,24,0,0,1,5,0,0,0,0
James Mitchell,MIN@DET,3,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
Zack Moss,HOU@IND,3,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0
Nick Muse,MIN@DET,3,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
Trey Palmer,TB@CAR,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Colby Parkinson,SEA@ARI,3,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0
Kyle Philips,JAX@TEN,3,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Justyn Ross,KC@LAC,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Stone Smartt,KC@LAC,3,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Adam Thielen,TB@CAR,3,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
Adam Trautman,DEN@LV,3,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Tommy Tremble,TB@CAR,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Cedrick Wilson,BUF@MIA,3,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
Charlie Woerner,LA@SF,3,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
