Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Mike Boone,HOU@CAR,2,0,0,0,0,0,0,1,5,0,0,1,11,0,0,0,0
Matt Breida,NYJ@NYG,2,0,0,0,0,0,0,5,13,0,0,1,4,0,0,0,0
Chase Claypool,NE@MIA,2,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Derius Davis,CHI@LAC,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Mecole Hardman,KC@DEN,2,0,0,0,0,0,0,1,3,0,0,2,13,0,0,1,0
Joshua Kelley,CHI@LAC,2,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0
Isaiah Likely,BAL@ARI,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Michael Mayer,LV@DET,2,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
Jerick McKinnon,KC@DEN,2,0,0,0,0,0,0,2,-2,0,0,1,10,0,0,0,0
Jakobi Meyers,LV@DET,2,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
Kendre Miller,NO@IND,2,0,0,0,0,0,0,3,10,0,0,1,9,0,0,0,0
Luke Musgrave,MIN@GB,2,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
DeVante Parker,NE@MIA,2,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Brandon Powell,MIN@GB,2,0,0,0,0,0,0,1,2,0,0,1,10,0,0,0,0
Luke Schoonmaker,LA@DAL,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Dalton Schultz,HOU@CAR,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Tyler Scott,CHI@LAC,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Jonnu Smith,ATL@TEN,2,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Stephen Sullivan,HOU@CAR,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
KaVontae Turpin,LA@DAL,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
C.J. Uzomah,NYJ@NYG,2,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
Jordan Akins,CLE@SEA,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Alex Armah,PHI@WAS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luke Farrell,JAX@PIT,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
C.J. Ham,MIN@GB,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Julian Hill,NE@MIA,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Alec Ingold,NE@MIA,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Keaontay Ingram,BAL@ARI,1,0,0,0,0,0,0,2,9,0,0,1,7,0,0,0,0
Rakim Jarrett,TB@BUF,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Juwan Johnson,NO@IND,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Velus Jones,CHI@LAC,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Hunter Luepke,LA@DAL,1,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0
Will Mallory,NO@IND,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Terrace Marshall,HOU@CAR,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Marvin Mims,KC@DEN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
