Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Hunter Long,MIA,,24,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Marlon Mack,SFO,,26,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jason Moore,LAC,,27,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Stanley Morgan Jr.,CIN,,26,6,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Dare Ogunbowale,HOU,,28,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Gunner Olszewski,PIT,WR,26,5,0,0,0,0,0,0,18,0,2,0,0,,-0.2,0,2,1
Matthew Orzech,LAR,,27,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Devine Ozigbo,DEN,RB,26,1,0,0,0,0,0,0,2,0,1,0,0,,0.2,0,0,0
Adam Prentice,NOR,RB,25,3,1,1,1,0,0,0,0,0,0,2,0,,1.2,0,1,0
Brock Purdy,SFO,QB,23,1,0,0,0,0,0,0,-1,0,1,0,0,,-0.1,0,0,0
Kevin Rader,TEN,,27,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Richard Rodgers,LAC,,30,4,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Drew Sample,CIN,TE,26,2,2,2,2,0,0,0,0,0,0,-2,0,,1.8,0,0,0
Matthew Slater,NWE,,37,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Willie Snead,SFO,,30,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Benny Snell Jr.,PIT,,24,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Matt Sokol,NWE,,27,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Keir Thomas,LAR,,24,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Noah Togiai,PHI,,25,2,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Jalen Tolbert,DAL,WR,23,2,0,2,1,0,0,0,0,0,0,4,0,,1.4,0,0,0
Malik Turner,SFO,,26,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
KaVontae Turpin,DAL,WR,26,6,0,1,0,0,0,0,3,0,1,0,0,,0.3,0,0,0
Ke'Shawn Vaughn,TAM,,25,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jonathan Ward,ARI,,25,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Derek Watt,PIT,RB,30,6,1,1,1,0,0,0,2,0,1,1,0,,1.3,0,0,0
Kevin White,NOR,,30,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Antonio Williams,NYG,,25,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,0,2,0,0,,0.2,0,0,0
Maxx Williams,ARI,,28,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Malik Willis,TEN,QB,23,1,0,0,0,6,0,4,16,0,4,0,0,,-0.2,0,1,1
Javon Wims,ARI,,28,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Charlie Woerner,SFO,,25,6,1,2,0,0,0,0,0,0,0,0,0,,,0,0,0
