Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Malik Willis,TEN,QB,23,1,0,0,0,6,0,4,16,0,4,0,0,,0,1,1
Jack Stoll,PHI,,24,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Noah Togiai,PHI,,25,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Miles Boykin,PIT,,26,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Gunner Olszewski,PIT,WR,26,2,0,0,0,0,0,0,18,0,1,0,0,,0,1,1
Benny Snell Jr.,PIT,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Derek Watt,PIT,RB,30,2,0,0,0,0,0,0,2,0,1,0,0,,0,0,0
Jesper Horsted,LVR,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jakob Johnson,LVR,RB,28,2,1,1,1,0,0,0,0,0,0,1,0,,0,0,0
Tyron Johnson,LVR,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Zamir White,LVR,RB,23,2,0,0,0,0,0,0,2,0,1,0,0,,0,0,0
Tutu Atwell,LAR,,23,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Jake Funk,LAR,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jacob Harris,LAR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Brycen Hopkins,LAR,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matthew Orzech,LAR,,27,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Keir Thomas,LAR,,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Josh Oliver,BAL,,25,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
James Proche,BAL,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chase Daniel,LAC,,36,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jalen Guyton,LAC,,25,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Richard Rodgers,LAC,,30,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Penny Hart,SEA,,26,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Malik Turner,SFO,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Charlie Woerner,SFO,,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Giovani Bernard,TAM,,31,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jaelon Darden,TAM,WR,23,2,0,0,0,0,0,0,2,0,1,0,0,,0,0,0
Cade Otton,TAM,TE,23,2,2,2,1,0,0,0,0,0,0,4,0,,0,0,0
Dyami Brown,WAS,,23,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cam Sims,WAS,,26,2,0,3,0,0,0,0,0,0,0,0,0,,0,0,0
Jonathan Williams,WAS,,28,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Brandon Powell,LAR,WR,27,2,0,2,2,0,0,0,-23,0,2,16,0,-1,0,0,0
Chuba Hubbard,CAR,RB,23,2,0,0,0,0,0,0,3,0,1,0,0,-2,0,1,1
