,Player,PPRFantasyPoints
696,Nik Needham,0.0
697,Michael Deiter,0.0
698,Christian Wilkins,0.0
699,Davon Godchaux,0.0
700,Ryan Fitzpatrick,3.4400000000000013
701,Matt Haack,0.0
702,Kyle Van Noy,0.0
703,Durham Smythe,0.0
704,Jesse Davis,0.0
705,Mike Gesicki,6.0
706,Myles Gaskin,10.6
707,Ereck Flowers,0.0
708,Chandler Cox,0.0
709,Kavon Frazier,0.0
710,Matt Breida,2.2
711,Marquise Brown,15.1
712,Chris Board,0.0
713,Matt Skura,0.0
714,Anthony Averett,0.0
715,L.J. Fort,0.0
716,Patrick Ricard,-0.6000000000000001
717,Broderick Washington Jr.,0.0
718,Gus Edwards,1.7000000000000002
719,Justin Tucker,0.0
720,Bradley Bozeman,0.0
721,James Proche,0.0
722,Nick Boyle,2.3
723,Lamar Jackson,27.5
724,Mark Ingram,2.9000000000000004
725,Tyus Bowser,0.0
726,Jimmy Smith,0.0
727,Tyre Phillips,0.0
728,Robert Griffin III,0.26
729,Malik Harrison,0.0
730,J.K. Dobbins,14.2
731,Miles Boykin,6.7
732,Ronnie Stanley,0.0
733,Brandon Williams,0.0
734,DeShon Elliott,0.0
735,Sam Koch,0.0
736,Calais Campbell,0.0
737,Orlando Brown Jr.,0.0
738,Patrick Queen,0.0
739,Derek Wolfe,0.0
740,Marcus Peters,0.0
741,Devin Duvernay,2.2
742,Anthony Levine,0.0
743,D.J. Fluker,0.0
744,Pernell McPhee,0.0
745,Justin Ellis,0.0
746,Tavon Young,0.0
747,Ben Powers,0.0
748,Chuck Clark,0.0
749,Willie Snead,16.4
750,Jihad Ward,0.0
751,Mark Andrews,22.8
752,Morgan Cox,0.0
753,Patrick Mekari,0.0
754,Marlon Humphrey,0.0
755,Matt Judon,0.0
756,Jaylon Ferguson,0.0
757,Otaro Alaka,0.0
758,Sheldrick Redwine,0.0
759,Jacob Phillips,0.0
760,Evan Brown,0.0
761,Sione Takitaki,0.0
762,J.C. Tretter,0.0
763,Terrance Mitchell,0.0
764,Jordan Elliott,0.0
765,KhaDarel Hodge,2.2
766,Karl Joseph,0.0
767,Ronnie Harrison,0.0
768,Andy Janovich,0.0
769,Vincent Taylor,0.0
770,D'Ernest Johnson,0.5
771,Jedrick Wills Jr.,0.0
772,Andrew Sendejo,0.0
773,Kendall Lamm,0.0
774,Kareem Hunt,12.1
775,Joel Bitonio,0.0
776,Charley Hughlett,0.0
777,Rashard Higgins,1.9
778,Stephen Carlson,0.0
779,Nick Chubb,5.6000000000000005
780,Jamie Gillan,-2.2
781,Olivier Vernon,0.0
782,Jack Conklin,0.0
783,Myles Garrett,0.0
784,Tae Davis,0.0
785,Jojo Natson,0.0
786,M.J. Stewart,0.0
787,Sheldon Richardson,0.0
788,Odell Beckham Jr.,5.2
789,B.J. Goodson,0.0
790,Larry Ogunjobi,0.0
791,Adrian Clayborn,0.0
792,Harrison Bryant,1.5
793,Porter Gustin,0.0
794,Tavierre Thomas,0.0
795,Baker Mayfield,9.86
796,Wyatt Teller,0.0
797,Austin Hooper,3.5
798,Denzel Ward,0.0
799,Jarvis Landry,11.1
800,Malcolm Smith,0.0
801,J.D. McKissic,0.9
802,Geron Christian,0.0
803,Logan Thomas,13.7
804,Wes Martin,0.0
805,Daron Payne,0.0
806,Dontrelle Inman,4.1
807,Kevin Pierre-Louis,0.0
808,Brandon Scherff,0.0
809,Peyton Barber,14.9
810,Antonio Gibson,6.4
811,Jonathan Allen,0.0
812,Dustin Hopkins,0.0
813,Ryan Anderson,0.0
814,Kamren Curl,0.0
815,Nick Sundberg,0.0
816,Troy Apke,0.0
817,Steven Sims,8.0
818,Fabian Moreau,0.0
819,Jimmy Moreland,0.0
820,Wes Schweitzer,0.0
821,Jonathan Bostic,0.0
822,James Smith-Williams,0.0
823,Tim Settle,0.0
824,Montez Sweat,0.0
825,Chase Roullier,0.0
826,Chase Young,0.0
827,Morgan Moses,0.0
828,Matthew Ioannidis,0.0
829,Ryan Kerrigan,0.0
830,Ronald Darby,0.0
831,Tress Way,0.0
832,Landon Collins,0.0
833,Greg Stroman,0.0
834,Deshazor Everett,0.0
835,Marcus Baugh,0.0
836,Danny Johnson,0.0
837,Terry McLaurin,11.1
838,Cornelius Lucas,0.0
839,Dwayne Haskins,12.82
840,Cole Holcomb,0.0
841,Shaun Dion Hamilton,0.0
842,Jeremy Sprinkle,0.0
843,Khaleke Hudson,0.0
844,Jordan Mailata,0.0
845,Darius Slay,0.0
846,Greg Ward,8.1
847,Isaac Seumalo,0.0
848,Nathan Gerry,0.0
849,Rodney McLeod,0.0
850,Richard Rodgers,0.0
851,Jason Kelce,0.0
852,Brandon Graham,0.0
853,Matt Pryor,0.0
854,Zach Ertz,10.8
855,Jake Elliott,0.0
856,Nate Herbig,0.0
857,Rick Lovato,0.0
858,Fletcher Cox,0.0
859,Dallas Goedert,24.1
860,Duke Riley,0.0
861,T.J. Edwards,0.0
862,Jason Peters,0.0
863,Marcus Epps,0.0
864,John Hightower,0.8
865,Craig James,0.0
866,Hassan Ridgeway,0.0
867,Davion Taylor,0.0
868,Boston Scott,7.4
869,Avonte Maddox,0.0
870,Jack Driscoll,0.0
871,Corey Clement,4.1
872,Nickell Robey-Coleman,0.0
873,Jalen Reagor,6.5
874,Cameron Johnston,0.0
875,Josh Sweat,0.0
876,Vinny Curry,0.0
877,DeSean Jackson,6.6000000000000005
878,Shaun Bradley,0.0
879,Genard Avery,0.0
880,K'Von Wallace,0.0
881,Malik Jackson,0.0
882,Carson Wentz,13.0
883,Jason Huntley,0.1
884,Jalen Mills,0.0
885,Cre'von LeBlanc,0.0
886,Alex Singleton,0.0
887,JJ Arcega-Whiteside,0.0
888,Rudy Ford,0.0
889,Alex Erickson,0.0
890,Mackensie Alexander,0.0
891,Vonn Bell,0.0
892,Billy Price,0.0
893,Joe Burrow,16.32
